sex,age,H,E,C,FoC
female,19,3.7,3.8,3.8,NA
male,52,4,2.4,3.4,1.2
male,31,3.4,3.1,3.2,1.4
female,19,3,NA,3.1,NA
female,19,3,2.9,2.7,1.2
male,29,3.7,2.5,3.4,1.6
female,19,3.9,4.2,2.9,2
male,20,2.5,2.7,2.4,1.2
female,19,NA,3.4,4.4,2.8
female,20,3.3,3.4,3.8,2.8
female,18,2.7,3.8,2.8,3.6
female,29,3,2.6,4,1.6
female,20,3,3.6,3.5,1.2
male,21,3,NA,3.9,3
female,21,3.5,3.5,3.3,2.4
female,19,2.9,4.3,3,NA
female,19,NA,4,4.1,NA
female,19,NA,4.1,4.5,NA
female,19,3.3,3,2.8,2.8
female,22,2.6,4,3.9,2.8
female,20,2.5,2.9,2.9,2.8
female,18,2.7,4.4,3.5,3.6
female,21,2.7,NA,3.8,2.6
female,20,NA,3.9,4.4,NA
male,19,2.8,2.8,3.2,2.4
female,19,3,3,3.9,3.6
female,19,3.5,3.6,3.5,NA
female,20,3.4,2.9,3.9,2
female,19,3.3,3.6,3.1,2.2
female,20,2.9,3.3,2.5,1.4
female,23,3.5,3,4,1
female,23,NA,2.7,4.7,1.4
female,18,3.2,4,2.4,2.8
female,20,3.1,3.4,3.3,1
female,19,4.1,3.5,3.7,1
